X,Y
1.8e-05,5.1e-05
1.8e-05,5.4e-05
1.8e-05,5.7e-05
1.8e-05,6e-05
1.8e-05,6.3e-05
1.8e-05,6.6e-05
1.8e-05,6.9e-05
1.8e-05,7.2e-05
1.8e-05,7.5e-05
1.8e-05,7.8e-05
1.8e-05,8.1e-05
1.8e-05,8.4e-05
1.8e-05,8.7e-05
1.8e-05,9e-05
1.8e-05,9.3e-05
1.8e-05,9.6e-05
1.8e-05,9.9e-05
1.8e-05,0.000102
1.8e-05,0.000105
1.8e-05,0.000108
1.8e-05,0.000111
1.8e-05,0.000114
1.8e-05,0.000117
1.8e-05,0.00012
1.8e-05,0.000123
1.8e-05,0.000126
1.8e-05,0.000129
1.8e-05,0.000132
1.8e-05,0.000135
1.8e-05,0.000138
1.8e-05,0.000141
1.8e-05,0.000144
1.8e-05,0.000147
1.8e-05,0.00015
2.1e-05,3e-06
2.1e-05,6e-06
2.1e-05,9e-06
2.1e-05,1.2e-05
2.1e-05,1.5e-05
2.1e-05,1.8e-05
2.1e-05,2.1e-05
2.1e-05,2.4e-05
2.1e-05,2.7e-05
2.1e-05,3e-05
2.1e-05,3.3e-05
2.1e-05,3.6e-05
2.1e-05,3.9e-05
2.1e-05,4.2e-05
2.1e-05,4.5e-05
2.1e-05,4.8e-05
2.1e-05,5.1e-05
2.1e-05,5.4e-05
2.1e-05,5.7e-05
2.1e-05,6e-05
2.1e-05,6.3e-05
2.1e-05,6.6e-05
2.1e-05,6.9e-05
2.1e-05,7.2e-05
2.1e-05,7.5e-05
2.1e-05,7.8e-05
2.1e-05,8.1e-05
2.1e-05,8.4e-05
2.1e-05,8.7e-05
2.1e-05,9e-05
2.1e-05,9.3e-05
2.1e-05,9.6e-05
2.1e-05,9.9e-05
2.1e-05,0.000102
2.1e-05,0.000105
2.1e-05,0.000108
2.1e-05,0.000111
2.1e-05,0.000114
2.1e-05,0.000117
2.1e-05,0.00012
2.1e-05,0.000123
2.1e-05,0.000126
2.1e-05,0.000129
2.1e-05,0.000132
2.1e-05,0.000135
2.1e-05,0.000138
2.1e-05,0.000141
2.1e-05,0.000144
2.1e-05,0.000147
2.1e-05,0.00015
2.4e-05,3e-06
2.4e-05,6e-06
2.4e-05,9e-06
2.4e-05,1.2e-05
2.4e-05,1.5e-05
2.4e-05,1.8e-05
2.4e-05,2.1e-05
2.4e-05,2.4e-05
2.4e-05,2.7e-05
2.4e-05,3e-05
2.4e-05,3.3e-05
2.4e-05,3.6e-05
2.4e-05,3.9e-05
2.4e-05,4.2e-05
2.4e-05,4.5e-05
2.4e-05,4.8e-05
2.4e-05,5.1e-05
2.4e-05,5.4e-05
2.4e-05,5.7e-05
2.4e-05,6e-05
2.4e-05,6.3e-05
2.4e-05,6.6e-05
2.4e-05,6.9e-05
2.4e-05,7.2e-05
2.4e-05,7.5e-05
2.4e-05,7.8e-05
2.4e-05,8.1e-05
2.4e-05,8.4e-05
2.4e-05,8.7e-05
2.4e-05,9e-05
2.4e-05,9.3e-05
2.4e-05,9.6e-05
2.4e-05,9.9e-05
2.4e-05,0.000102
2.4e-05,0.000105
2.4e-05,0.000108
2.4e-05,0.000111
2.4e-05,0.000114
2.4e-05,0.000117
2.4e-05,0.00012
2.4e-05,0.000123
2.4e-05,0.000126
2.4e-05,0.000129
2.4e-05,0.000132
2.4e-05,0.000135
2.4e-05,0.000138
2.4e-05,0.000141
2.4e-05,0.000144
2.4e-05,0.000147
2.4e-05,0.00015
2.7e-05,3e-06
2.7e-05,6e-06
2.7e-05,9e-06
